2,1,0.5,0.1,0.25,0.75,1.5
-40.50218166994195 + 40.96429772749717i,-28.68968215298822 + 28.97917570691452i,-20.41863011983089 + 20.601008389242754i,-9.210815867553155 + 9.274307416617598i,-14.449504089794113 + 14.56588215272874i,-24.775114318141963 + 25.014722011129862i,-35.09880689941001 + 35.47919813834093i
-40.81099312403491 + 41.27037858950092i,-28.90772923382005 + 29.195572720658127i,-20.57191395057249 + 20.753300125303994i,-9.279093835489924 + 9.34227410005222i,-14.557933868705913 + 14.67370157040889i,-24.964521480936558 + 25.20277554621284i,-35.366098734919944 + 35.74427436757083i
-41.11748930856146 + 41.57419931893922i,-29.12414575466374 + 29.4103719213862i,-20.72406406576702 + 20.904477303740332i,-9.346868577065251 + 9.409743270328017i,-14.665560179420837 + 14.780729116051619i,-25.15250348457814 + 25.38943076477391i,-35.631388577778345 + 36.0073930395346i
-41.421721503826696 + 41.87580930551718i,-29.338967744673948 + 29.623608229061915i,-20.875105254620287 + 21.05456407883553i,-9.41415108708616 + 9.476725739276235i,-14.772400634652474 + 14.886982021987098i,-25.339092013349504 + 25.57471844064094i,-35.894720728689066 + 36.26859693853373i
-41.723739125186924 + 42.17525616481922i,-29.552229925652867 + 29.835315309066022i,-21.025061415929006 + 21.203583744104208i,-9.480951965161776 + 9.543231931858053i,-14.878472212662098 + 14.992476903723293i,-25.524317596380488 + 25.758668235897872i,-36.15613787865751 + 36.527927311747334i
-42.02358981662592 + 42.472585826305185i,-29.763965777506556 + 30.04552563443792i,-21.173955602222772 + 21.351558774658617i,-9.547281435327918 + 9.609271905300101i,-14.983791288808714 + 15.097229790445493i,-25.708209664477703 + 25.94130875507116i,-36.415681189690545 + 36.78542394548774i
-42.321319538380216 + 42.767842615771436i,-29.974207599547427 + 30.25427054420053i,-21.321810061131902 + 21.49851086693018i,-9.61314936444078 + 9.674855367034002i,-15.088373665110216 + 15.201256153603204i,-25.890796604450234 + 26.122667597000124i,-36.67339037036904 + 37.041125236658296i
-42.61697264906986 + 43.06106933269619i,-30.182986567960572 + 30.461580298066128i,-21.468646274191016 + 21.644460975945222i,-9.678565279385134 + 9.739991691482851i,-15.192234597966696 + 15.304570933728803i,-26.072105810192316 + 26.302771403642915i,-36.92930374668504 + 37.295068259777565i
-42.91059198274951 + 43.352307322852475i,-30.39033278972327 + 30.667484127793987i,-21.614484993270146 + 21.789429350336327i,-9.74353838333773 + 9.804689935931693i,-15.295388824151166 + 15.407188565587662i,-26.252163730624712 + 26.481645905905143i,-37.183458328501594 + 37.54728882990148i
-43.20221892125896 + 43.641596546537336i,-30.596275353241495 + 30.87201028544698i,-21.75934627480831 + 21.93343556525534i,-9.808077570902427 + 9.868958855297482i,-15.397850585344555 + 15.509123001930325i,-26.43099591470581 + 26.65931596668866i,-37.435889871961145 + 37.79782156174648i
-43.49189346221864 + 43.928975642737036i,-30.800842375944686 + 31.075186088772952i,-21.903249512009264 + 22.07649855333983i,-9.87219144245055 + 9.932806916128557i,-15.499633651022323 + 15.610387735651285i,-26.608627053724167 + 26.83580562135973i,-37.68663293814045 + 38.04669992529012i
-43.77965428298628 + 44.21448198952013i,-31.00406104905894 + 31.27703796391772i,-22.04621346514592 + 22.21863663387182i,-9.935888317574467 + 9.996242309740408i,-15.600751340143637 + 15.710995820798608i,-26.785081021070027 + 27.01113811582271i,-37.93572094822412 + 38.293956298102536i
-44.06553880086422 + 44.49815176092598i,-31.20595767976048 + 31.477591485658973i,-22.188256290107383 + 22.359867540256186i,-9.99917624776661 + 10.059272964597842i,-15.701216541515016 + 15.810959892304192i,-26.960380909666743 + 27.185335942369765i,-38.18318623544618 + 38.53962201464064i
-44.34958322982228 + 44.78001998059436i,-31.406557730894306 + 31.676871415334677i,-22.32939556531168 + 22.500208445935684i,-10.062063028371304 + 10.121906557989373i,-15.801041732996083 + 15.910292184597624i,-27.134549067228225 + 27.35842087346369i,-38.42906009402782 + 38.783727412717965i
-44.63182263397997 + 45.060120572361264i,-31.60588585842786 + 31.87490173662561i,-22.469648317096897 + 22.639675988849973i,-10.124556209859728 + 10.184150527042728i,-15.900238999616331 + 16.00900454917001i,-27.307607131524517 + 27.530413995614825i,-38.673372825321294 + 39.026301877345276i
-44.91229097807083 + 45.33848640802838i,-31.80396594746219 + 32.07170569000109i,-22.60903104369485 + 22.77828629453734i,-10.186663108474376 + 10.246012079126244i,-15.998820050677734 + 16.107108471159105i,-27.47957605253903 + 27.701335730309008i,-38.9161537813521 + 39.26737388212181i
-45.191021175095045 + 45.61514935249674i,-32.000821143131844 + 32.26730580217501i,-22.74755973788259 + 22.916054997970164i,-10.248390816285518 + 10.307498201677696i,-16.096796235911548 + 16.204615085021757i,-27.650476138060895 + 27.871205878299968i,-39.157431405936826 + 39.506971028342086i
-45.468045131349086 + 45.890140306440244i,-32.196473885622595 + 32.461723919734816i,-22.885249908399864 + 23.052997264208003i,-10.309746210698945 + 10.368615671498558i,-16.194178560752633 + 16.30153518935424i,-27.820327068824497 + 28.04004363370336i,-39.397233273539186 + 39.745120081971045i
-45.74339378900687 + 46.16348924668092i,-32.39094593783254 + 32.65498123553724i,-23.022116600213785 + 23.189127807945486i,-10.370735963451333 + 10.42937106354892i,-16.29097770078932 + 16.397879260916515i,-27.989147929125537 + 28.2078676135338i,-39.635586126015056 + 39.98184700862725i
-46.017097166412995 + 46.4352252644157i,-32.584258414115624 + 32.847098316249i,-23.158174413705478 + 23.324460912026698i,-10.431366549126611 + 10.489770759275766i,-16.387204015442762 + 16.493657467912033i,-28.156957231739753 + 28.37469588163743i,-39.87251590738434 + 40.21717700670429i
-46.289184396236834 + 46.70537660143262i,-32.77643180701792 + 33.038095127958i,-23.293437522848247 + 23.459010444991844i,-10.491644253224838 + 10.549820954504813i,-16.48286756092526 + 16.58887968257092i,-28.323772941563096 + 28.540545971406722i,-40.10804779675819 + 40.45113453874995i
-46.55968376162447 + 46.973970684444204i,-32.96748601261345 + 33.227991060452815i,-23.42791969244095 + 23.592789877717518i,-10.551575179812481 + 10.60952766692456i,-16.577978102523556 + 16.683555493080544i,-28.489612498028688 + 28.705434907328698i,-40.34220623953956 + 40.68374336121367i
-46.82862273047517 + 47.24103415765672i,-33.157440354528 + 33.41680495025424i,-23.5616342944563 + 23.725812299207092i,-10.611165258722378 + 10.668896743129693i,-16.67254512624956 + 16.777694214904624i,-28.654492836366646 + 28.869379225428684i,-40.57501497700619 + 40.91502655266533i
-47.096027987960554 + 47.50659291368425i,-33.34631360673326 + 33.60455510247632i,-23.69459432355867 + 23.8580904315836i,-10.670420252587219 + 10.72793386550659i,-16.766577849897924 + 16.871304901528514i,-28.818430407774514 + 29.03239499267359i,-40.80649707437802 + 41.145006540579686i
-47.36192546739468 + 47.7706721229098i,-33.53412401518703 + 33.79125931158903i,-23.826812411842646 + 23.989636644334094i,-10.729345763207933 + 10.786644558463271i,-16.860085233546844 + 16.96439635466602i,-28.98144119856363 + 29.194497825396645i,-41.03667494746222 + 41.37370512677515i
-47.62634037955648 + 48.0332962613876i,-33.720889318390476 + 33.976934881148956i,-23.958300842839513 + 24.120462967850298i,-10.787947237860942 + 10.845034194605166i,-16.95307598953616 + 17.056977133960295i,-29.143540748343522 + 29.35570290680244i,-41.26557038796317 + 41.60114351158837i
